name,inList,now,minn,order
110,128,256,100,
100,66,140,150,
150,66,120,70,
210,128,240,100,
200,66,160,100,
250,66,150,60,
310,128,200,100,
300,66,240,150,
350,66,54,70,
710,128,128,100,
700,66,120,100,
750,66,120,60,
800,66,60,60,
900,66,120,90,
950,66,60,60,
3050,66,69,70,
3150,66,140,70,
3300,66,180,140,
3450,66,40,50,
3600,66,140,70,
3750,66,70,40,
3900,66,96,70,
4150,66,70,50,
4400,66,110,70,
4250,66,55,50,
4350,66,90,70,
90402S,66,82,30,
90202S,60,30,20,
90502S,60,40,20,
90102S,60,15,20,
90602S,60,20,20,
90302S,60,60,20,
21301S,60,40,20,
21002S,60,60,30,
20902S,60,50,20,
8500S,112,84,20,
8400S,100,30,20,
60601S,60,75,20,
102S,60,75,40,
10401S,60,15,20,
10501S,60,100,20,
10201S,60,30,20,
10301S,60,12,20,
10101S,60,185,20,
101S,66,70,30,
4550S,48,80,30,
4500S,48,64,30,
30501S,45,65,30,
6900S,60,60,20,
6800S,60,54,20,
6700S,60,20,20,
6500S,48,32,20,
100 ETL B,0,0,0,
700 ETL B,0,0,0,
5001,56,112,40,
5000,55,150,50,
5100,48,55,40,
5200,48,133,60,
5300,55,60,30,
5400,48,98,40,
5500,48,33,40,
5600,48,85,40,
5700,48,53,25,
5800,48,70,25,
5901,56,172,100,
5900,48,194,100,
6000,48,190,120,
6100,55,172,70,
6500,60,12,20,
6800,66,38,24,
6900,75,108,40,
7000,75,27,40,
7300,60,40,20,
7500,60,22,20,
9200,66,120,100,
1001,56,106,20,
1003,56,20,15,
7800,60,98,50,
9400,60,120,150,
2017,0,0,0,
9600,60,60,30,
7700,0,0,0,
11100,66,94,40,
1005,48,50,30,
4800,48,110,30,
8000,160,160,30,
8100,110,130,30,
8200,143,77,30,
8300,128,160,30,
8400,160,100,30,
4900,48,52,70,
4910,66,106,70,
4700,66,66,50,
4500,48,52,30,
4550,52,82,30,
410,128,148,100,
400,66,120,80,
450,60,75,40,
9500,66,115,70,
9510,60,68,40,
510,128,150,100,
500,60,195,100,
550,66,80,50,
9550,66,260,100,
9551,60,70,40,
6200,48,35,30,
610,128,180,100,
600,60,95,70,
650,66,48,50,
9700,66,110,80,
9710,66,0,40,
9900,168,120,30,
1300,66,140,50,
1350,66,90,40,
6300,48,90,25,
9800,66,66,35,
1510,128,168,50,
1500,66,80,80,
1550,66,28,40,
6400,66,140,50,
6410,66,60,40,
7600,66,75,30,
1600,66,75,50,
6600,48,36,25,
2104,128,90,100,
2004,66,66,50,
2450,66,78,40,
2006,48,80,30,
2008,66,40,25,
2014,66,66,50,
2015,48,60,30,
2020,66,50,50,
2021,48,50,50,
Н060,66,35,60,
Н069,66,130,50,
Н075,50,124,70,
Н070,48,170,200,
Н071,66,170,100,
21200S,66,66,30,
21102S,66,66,30,
1005S,66,100,30,
70601S,66,100,30,
2007S,66,35,30,
21601S,66,15,30,
90702S,66,35,30,
21401S,66,110,30,
9550S,66,35,30,
21501S,66,130,30,
20802S,66,55,30,
30502S,48,22,15,
103S,66,33,15,
2006S,48,24,15,
2008S,66,40,20,
1007,66,80,80,
3101,45,175,150,
100В,40,25,20,
200В,40,18,20,
300В,40,55,20,
700В,40,40,20,
2014В,40,22,20,
2020В,0,0,0,
2009В,0,0,0,
1900В,0,0,0,
1800В,0,0,0,
2001В,0,0,0,
2025,66,66,60,
2026,66,11,60,
2027,66,43,60,
2028,66,20,60,
2029,66,80,60,
2030,66,30,60,
2031,66,50,60,
2032,66,70,60,
2033,66,90,60,
2034,66,130,60,
2035,66,91,60,
2036,66,70,60,
81736,48,80,40,
2502,120,300,100,
10255,66,110,100,
2465,66,80,100,
10262,66,110,100,
9853,66,33,80,
9808,66,70,80,
8016,66,130,60,
7606,66,70,60,
4704,48,50,50,
6609,48,128,120,
1651,0,0,0,
1613,0,0,0,
1620,0,0,0,
1637,0,0,0,
1644,0,0,0,
1668,0,0,0,
1675,0,0,0,
1682,0,0,0,
1699,0,0,0,
1446,0,0,0,
1453,0,0,0,
1422,0,0,0,
1439,0,0,0,
81248,0,0,0,
10767,0,0,0,
10750,0,0,0,
9752,0,0,0,
1700,0,0,0,
1800,0,0,0,
1900,0,0,0,
2012,0,0,0,
2016,0,0,0,
2500,0,0,0,
1004,0,0,0,
2022,0,0,0,
TRX 2 ,0,0,0,
Melaniq,0,0,0,
DRM 4,0,0,0,
Immune +,0,0,0,
